brand,model,category
SuperMicro,MICROBLADE MBI-6118D-T2 ,Servers
SuperMicro,MICROBLADE MBI-6118D-T2H ,Servers
SuperMicro,MICROBLADE MBI-6118D-T4 ,Servers
SuperMicro,MICROBLADE MBI-6118D-T4H ,Servers
SuperMicro,MICROBLADE MBI-6118G-T41X ,Servers
SuperMicro,MICROBLADE MBI-6118G-T81X ,Servers
SuperMicro,MICROBLADE MBI-6119G-C2 ,Servers
SuperMicro,MICROBLADE MBI-6119G-C4 ,Servers
SuperMicro,MICROBLADE MBI-6119G-T4 ,Servers
SuperMicro,MICROBLADE MBI-6119G-T7LX ,Servers
SuperMicro,MICROBLADE MBI-6119G-T8HX,Servers
SuperMicro,MICROBLADE MBI-6128R-T2 ,Servers
SuperMicro,MICROBLADE MBI-6128R-T2X ,Servers
SuperMicro,MICROBLADE MBI-6218G-T41X ,Servers
SuperMicro,MICROBLADE MBI-6218G-T81X ,Servers
SuperMicro,MICROBLADE MBI-6219G-T  ,Servers
SuperMicro,MICROBLADE MBI-6219G-T7LX ,Servers
SuperMicro,MICROBLADE MBI-6219G-T8HX ,Servers
SuperMicro,MICROBLADE MBI-6418A-T5H ,Servers
SuperMicro,MICROBLADE MBI-6418A-T7H ,Servers
SuperMicro,MP SuperServer SYS-2048U-RTR4 ,Servers
SuperMicro,MP SuperServer SYS-4047R-7JRFT,Servers
SuperMicro,MP SuperServer SYS-4048B-TR4FT,Servers
SuperMicro,MP SuperServer SYS-4048B-TRFT,Servers
SuperMicro,MP SuperServer SYS-5086B-TRF,Servers
SuperMicro,MP SuperServer SYS-7088B-TR4FT,Servers
SuperMicro,MP SuperServer SYS-8016B-6F,Servers
SuperMicro,MP SuperServer SYS-8016B-TF,Servers
SuperMicro,MP SuperServer SYS-8016B-TLF ,Servers
SuperMicro,MP SuperServer SYS-8017R-7FT+,Servers
SuperMicro,MP SuperServer SYS-8017R-TF+,Servers
SuperMicro,MP SuperServer SYS-8026B-6RF ,Servers
SuperMicro,MP SuperServer SYS-8026B-TRF,Servers
SuperMicro,MP SuperServer SYS-8027R-7RFT+,Servers
SuperMicro,MP SuperServer SYS-8027R-TRF+ ,Servers
SuperMicro,MP SuperServer SYS-8028B-C0R3FT ,Servers
SuperMicro,MP SuperServer SYS-8028B-C0R4FT ,Servers
SuperMicro,MP SuperServer SYS-8028B-TR3F,Servers
SuperMicro,MP SuperServer SYS-8028B-TR4F,Servers
SuperMicro,MP SuperServer SYS-8046B-6RF,Servers
SuperMicro,MP SuperServer SYS-8046B-TRF,Servers
SuperMicro,MP SuperServer SYS-8046B-TRLF,Servers
SuperMicro,MP SuperServer SYS-8047R-7JRFT,Servers
SuperMicro,MP SuperServer SYS-8047R-7RFT+,Servers
SuperMicro,MP SuperServer SYS-8047R-TRF+,Servers
SuperMicro,MP SuperServer SYS-8048B-C0R3FT,Servers
SuperMicro,MP SuperServer SYS-8048B-C0R4FT ,Servers
SuperMicro,MP SuperServer SYS-8048B-TR3F,Servers
SuperMicro,MP SuperServer SYS-8048B-TR4F,Servers
SuperMicro,MP SuperServer SYS-8048B-TR4FT,Servers
SuperMicro,MP SuperServer SYS-8048B-TRFT,Servers
SuperMicro,SuperServer  6015P-8RB,Servers
SuperMicro,SuperServer 1015B-3B,Servers
SuperMicro,SuperServer 1015B-M3B ,Servers
SuperMicro,SuperServer 1016I-M6F,Servers
SuperMicro,SuperServer 1016I-UF,Servers
SuperMicro,SuperServer 1016T-M3FB,Servers
SuperMicro,SuperServer 1017C-TF ,Servers
SuperMicro,SuperServer 1017GR-TF,Servers
SuperMicro,SuperServer 1017R-MTF,Servers
SuperMicro,SuperServer 1017R-WR,Servers
SuperMicro,SuperServer 1018D-73MTF,Servers
SuperMicro,SuperServer 1018D-FRN8T,Servers
SuperMicro,SuperServer 1018GR-T,Servers
SuperMicro,SuperServer 1018R-WC0R,Servers
SuperMicro,SuperServer 1018R-WR,Servers
SuperMicro,SuperServer 1019S-M2,Servers
SuperMicro,SuperServer 1019S-MC0T,Servers
SuperMicro,SuperServer 1019S-WR,Servers
SuperMicro,SuperServer 1025C-3B,Servers
SuperMicro,SuperServer 1025C-M3B,Servers
SuperMicro,SuperServer 1025TC-10GB,Servers
SuperMicro,SuperServer 1025TC-3FB,Servers
SuperMicro,SuperServer 1025TC-TB,Servers
SuperMicro,SuperServer 1026GT-TF,Servers
SuperMicro,SuperServer 1026T-6RFT+,Servers
SuperMicro,SuperServer 1026T-M3,Servers
SuperMicro,SuperServer 1026TT-IBQF,Servers
SuperMicro,SuperServer 1026TT-IBXF ,Servers
SuperMicro,SuperServer 1026TT-TF,Servers
SuperMicro,SuperServer 1027B-MTF,Servers
SuperMicro,SuperServer 1027GR-72R2,Servers
SuperMicro,SuperServer 1027GR-72RT2,Servers
SuperMicro,SuperServer 1027GR-TQF,Servers
SuperMicro,SuperServer 1027GR-TQFT,Servers
SuperMicro,SuperServer 1027GR-TR2,Servers
SuperMicro,SuperServer 1027GR-TRF,Servers
SuperMicro,SuperServer 1027GR-TRF+,Servers
SuperMicro,SuperServer 1027GR-TRFT,Servers
SuperMicro,SuperServer 1027GR-TRFT+,Servers
SuperMicro,SuperServer 1027GR-TRT2,Servers
SuperMicro,SuperServer 1027GR-TSF,Servers
SuperMicro,SuperServer 1027R-72BRFTP,Servers
SuperMicro,SuperServer 1027R-72RFTP,Servers
SuperMicro,SuperServer 1027R-73DAF,Servers
SuperMicro,SuperServer 1027R-73DARF,Servers
SuperMicro,SuperServer 1027R-73DBRF,Servers
SuperMicro,SuperServer 1027R-N3RF,Servers
SuperMicro,SuperServer 1027R-WC1R,Servers
SuperMicro,SuperServer 1027R-WC1RT,Servers
SuperMicro,SuperServer 1027R-WRF,Servers
SuperMicro,SuperServer 1027R-WRF4+,Servers
SuperMicro,SuperServer 1027R-WRFT+,Servers
SuperMicro,SuperServer 1027R-WTRFTP,Servers
SuperMicro,SuperServer 1027TR-TF,Servers
SuperMicro,SuperServer 1027TR-TFF,Servers
SuperMicro,SuperServer 1027TR-TQF,Servers
SuperMicro,SuperServer 1028GQ-TR,Servers
SuperMicro,SuperServer 1028GQ-TRT,Servers
SuperMicro,SuperServer 1028GQ-TXR,Servers
SuperMicro,SuperServer 1028GQ-TXRT,Servers
SuperMicro,SuperServer 1028GR-TR,Servers
SuperMicro,SuperServer 1028GR-TRT,Servers
SuperMicro,SuperServer 1028R-MCT,Servers
SuperMicro,SuperServer 1028R-MCTR,Servers
SuperMicro,SuperServer 1028R-TDW,Servers
SuperMicro,SuperServer 1028R-WC1R,Servers
SuperMicro,SuperServer 1028R-WC1RT,Servers
SuperMicro,SuperServer 1028R-WMR,Servers
SuperMicro,SuperServer 1028R-WMRT,Servers
SuperMicro,SuperServer 1028R-WTNR,Servers
SuperMicro,SuperServer 1028R-WTNRT,Servers
SuperMicro,SuperServer 1028R-WTR,Servers
SuperMicro,SuperServer 1028R-WTRT,Servers
SuperMicro,SuperServer 1028TR-T,Servers
SuperMicro,SuperServer 1028TR-TF,Servers
SuperMicro,SuperServer 1028U-E1CR4+,Servers
SuperMicro,SuperServer 1028U-E1CRTP+,Servers
SuperMicro,SuperServer 1028U-TN10RT+,Servers
SuperMicro,SuperServer 1028U-TNR4T+,Servers
SuperMicro,SuperServer 1028U-TNRT+,Servers
SuperMicro,SuperServer 1028U-TNRTP+,Servers
SuperMicro,SuperServer 1028U-TR4+,Servers
SuperMicro,SuperServer 1028U-TR4T+,Servers
SuperMicro,SuperServer 1028U-TRT+,Servers
SuperMicro,SuperServer 1028UX-CR-LL1,Servers
SuperMicro,SuperServer 1028UX-CR-LL2,Servers
SuperMicro,SuperServer 1028UX-LL1-B8,Servers
SuperMicro,SuperServer 1028UX-LL2-B8,Servers
SuperMicro,SuperServer 1028UX-LL3-B8,Servers
SuperMicro,SuperServer 2015TA-HTRF,Servers
SuperMicro,SuperServer 2016Ti-HTRF,Servers
SuperMicro,SuperServer 2026TT-DLIBQRF,Servers
SuperMicro,SuperServer 2026TT-DLIBXRF,Servers
SuperMicro,SuperServer 2026TT-DLRF,Servers
SuperMicro,SuperServer 2026TT-H6IBQRF,Servers
SuperMicro,SuperServer 2026TT-H6IBXRF,Servers
SuperMicro,SuperServer 2026TT-H6RF,Servers
SuperMicro,SuperServer 2026TT-HIBQRF,Servers
SuperMicro,SuperServer 2026TT-HIBXRF,Servers
SuperMicro,SuperServer 2026TT-HTRF,Servers
SuperMicro,SuperServer 2027B-DE2R24L,Servers
SuperMicro,SuperServer 2027GR-TR2,Servers
SuperMicro,SuperServer 2027GR-TRF,Servers
SuperMicro,SuperServer 2027GR-TRFH,Servers
SuperMicro,SuperServer 2027GR-TRFHT,Servers
SuperMicro,SuperServer 2027GR-TRFT,Servers
SuperMicro,SuperServer 2027GR-TRT2,Servers
SuperMicro,SuperServer 2027GR-TSF,Servers
SuperMicro,SuperServer 2027PR-DC0FR,Servers
SuperMicro,SuperServer 2027PR-DC0R,Servers
SuperMicro,SuperServer 2027PR-DC0TR,Servers
SuperMicro,SuperServer 2027PR-DC1FR,Servers
SuperMicro,SuperServer 2027PR-DC1R,Servers
SuperMicro,SuperServer 2027PR-DC1TR,Servers
SuperMicro,SuperServer 2027PR-DTFR,Servers
SuperMicro,SuperServer 2027PR-DTR,Servers
SuperMicro,SuperServer 2027PR-DTTR,Servers
SuperMicro,SuperServer 2027PR-HC0FR,Servers
SuperMicro,SuperServer 2027PR-HC0R,Servers
SuperMicro,SuperServer 2027PR-HC0TR,Servers
SuperMicro,SuperServer 2027PR-HC1FR,Servers
SuperMicro,SuperServer 2027PR-HC1R,Servers
SuperMicro,SuperServer 2027PR-HC1TR,Servers
SuperMicro,SuperServer 2027PR-HTFR,Servers
SuperMicro,SuperServer 2027PR-HTR,Servers
SuperMicro,SuperServer 2027PR-HTTR,Servers
SuperMicro,SuperServer 2027R-72RFTP+,Servers
SuperMicro,SuperServer 2027R-AR24,Servers
SuperMicro,SuperServer 2027R-E1R24L,Servers
SuperMicro,SuperServer 2027R-E1R24N,Servers
SuperMicro,SuperServer 2027TR-D70FRF,Servers
SuperMicro,SuperServer 2027TR-D70QRF,Servers
SuperMicro,SuperServer 2027TR-D70RF,Servers
SuperMicro,SuperServer 2027TR-D70RF+,Servers
SuperMicro,SuperServer 2027TR-H70FRF,Servers
SuperMicro,SuperServer 2027TR-H70QRF,Servers
SuperMicro,SuperServer 2027TR-H70RF,Servers
SuperMicro,SuperServer 2027TR-H70RF+,Servers
SuperMicro,SuperServer 2027TR-H71FRF,Servers
SuperMicro,SuperServer 2027TR-H71QRF,Servers
SuperMicro,SuperServer 2027TR-H71RF,Servers
SuperMicro,SuperServer 2027TR-H71RF+,Servers
SuperMicro,SuperServer 2027TR-H72FRF,Servers
SuperMicro,SuperServer 2027TR-H72QRF,Servers
SuperMicro,SuperServer 2027TR-H72RF,Servers
SuperMicro,SuperServer 2027TR-H72RF+,Servers
SuperMicro,SuperServer 2027TR-HTFRF,Servers
SuperMicro,SuperServer 2027TR-HTQRF,Servers
SuperMicro,SuperServer 2027TR-HTRF,Servers
SuperMicro,SuperServer 2027TR-HTRF+,Servers
SuperMicro,SuperServer 2028GR-TR,Servers
SuperMicro,SuperServer 2028GR-TRH,Servers
SuperMicro,SuperServer 2028GR-TRHT,Servers
SuperMicro,SuperServer 2028GR-TRT,Servers
SuperMicro,SuperServer 2028R-ACR24H,Servers
SuperMicro,SuperServer 2028R-ACR24L,Servers
SuperMicro,SuperServer 2028R-C1R,Servers
SuperMicro,SuperServer 2028R-C1R4+,Servers
SuperMicro,SuperServer 2028R-C1RT,Servers
SuperMicro,SuperServer 2028R-C1RT4+,Servers
SuperMicro,SuperServer 2028R-E1CR24H,Servers
SuperMicro,SuperServer 2028R-E1CR24L,Servers
SuperMicro,SuperServer 2028R-E1CR24N,Servers
SuperMicro,SuperServer 2028R-E1CR48L,Servers
SuperMicro,SuperServer 2028R-E1CR48N,Servers
SuperMicro,SuperServer 2028R-NR48N,Servers
SuperMicro,SuperServer 2028R-TXR,Servers
SuperMicro,SuperServer 2028TP-DC0FR,Servers
SuperMicro,SuperServer 2028TP-DC0R,Servers
SuperMicro,SuperServer 2028TP-DC0TR,Servers
SuperMicro,SuperServer 2028TP-DC1FR,Servers
SuperMicro,SuperServer 2028TP-DC1R,Servers
SuperMicro,SuperServer 2028TP-DC1TR,Servers
SuperMicro,SuperServer 2028TP-DECFR,Servers
SuperMicro,SuperServer 2028TP-DECR,Servers
SuperMicro,SuperServer 2028TP-DECTR,Servers
SuperMicro,SuperServer 2028TP-DNCFR,Servers
SuperMicro,SuperServer 2028TP-DNCR,Servers
SuperMicro,SuperServer 2028TP-DNCTR,Servers
SuperMicro,SuperServer 2028TP-DTFR,Servers
SuperMicro,SuperServer 2028TP-DTR,Servers
SuperMicro,SuperServer 2028TP-DTTR,Servers
SuperMicro,SuperServer 2028TP-HC0FR,Servers
SuperMicro,SuperServer 2028TP-HC0R,Servers
SuperMicro,SuperServer 2028TP-HC0R-SIOM,Servers
SuperMicro,SuperServer 2028TP-HC0TR,Servers
SuperMicro,SuperServer 2028TP-HC1FR ,Servers
SuperMicro,SuperServer 2028TP-HC1R,Servers
SuperMicro,SuperServer 2028TP-HC1R-SIOM,Servers
SuperMicro,SuperServer 2028TP-HC1TR ,Servers
SuperMicro,SuperServer 2028TP-HTFR,Servers
SuperMicro,SuperServer 2028TP-HTR,Servers
SuperMicro,SuperServer 2028TP-HTR-SIOM,Servers
SuperMicro,SuperServer 2028TP-HTTR,Servers
SuperMicro,SuperServer 2028TR-H72FR,Servers
SuperMicro,SuperServer 2028TR-H72R,Servers
SuperMicro,SuperServer 2028TR-HTFR,Servers
SuperMicro,SuperServer 2028TR-HTR,Servers
SuperMicro,SuperServer 2028U-E1CNR4T+,Servers
SuperMicro,SuperServer 2028U-E1CNRT+,Servers
SuperMicro,SuperServer 2028UT-BC1NRT,Servers
SuperMicro,SuperServer 2028UT-BTNRT,Servers
SuperMicro,SuperServer 2028U-TN24R4T+,Servers
SuperMicro,SuperServer 2028U-TNR4T+,Servers
SuperMicro,SuperServer 2028U-TNRT+,Servers
SuperMicro,SuperServer 2028U-TR4+,Servers
SuperMicro,SuperServer 2028U-TR4T+,Servers
SuperMicro,SuperServer 2028U-TRT+,Servers
SuperMicro,SuperServer 2028U-TRTP+,Servers
SuperMicro,SuperServer 2048U-RTR4,Servers
SuperMicro,SuperServer 4027GR-TR,Servers
SuperMicro,SuperServer 4027GR-TRT,Servers
SuperMicro,SuperServer 4028GR-TR,Servers
SuperMicro,SuperServer 4028GR-TR2,Servers
SuperMicro,SuperServer 4028GR-TRT,Servers
SuperMicro,SuperServer 4028GR-TRT2,Servers
SuperMicro,SuperServer 4028GR-TXR,Servers
SuperMicro,SuperServer 4028GR-TXRT,Servers
SuperMicro,SuperServer 4047R-7JRFT,Servers
SuperMicro,SuperServer 4048B-TR4FT,Servers
SuperMicro,SuperServer 4048B-TRFT,Servers
SuperMicro,SuperServer 5012B-6,Servers
SuperMicro,SuperServer 5013C-M,Servers
SuperMicro,SuperServer 5013C-M8,Servers
SuperMicro,SuperServer 5013C-M8B,Servers
SuperMicro,SuperServer 5013C-MB,Servers
SuperMicro,SuperServer 5013C-MT,Servers
SuperMicro,SuperServer 5013C-MTB,Servers
SuperMicro,SuperServer 5013G-6,Servers
SuperMicro,SuperServer 5013G-6B,Servers
SuperMicro,SuperServer 5013G-i,Servers
SuperMicro,SuperServer 5013G-iB,Servers
SuperMicro,SuperServer 5013G-M ,Servers
SuperMicro,SuperServer 5013G-MB,Servers
SuperMicro,SuperServer 5014C-M8,Servers
SuperMicro,SuperServer 5014C-M8B,Servers
SuperMicro,SuperServer 5014C-MF,Servers
SuperMicro,SuperServer 5014C-MFB,Servers
SuperMicro,SuperServer 5014C-MR ,Servers
SuperMicro,SuperServer 5014C-MRB,Servers
SuperMicro,SuperServer 5014C-MT,Servers
SuperMicro,SuperServer 5014C-MTB,Servers
SuperMicro,SuperServer 5014C-T,Servers
SuperMicro,SuperServer 5014C-TB,Servers
SuperMicro,SuperServer 5015A-EHF,Servers
SuperMicro,SuperServer 5015A-EHF-D525,Servers
SuperMicro,SuperServer 5015A-PHF,Servers
SuperMicro,SuperServer 5015B-M3B ,Servers
SuperMicro,SuperServer 5015B-MF,Servers
SuperMicro,SuperServer 5015B-MFB,Servers
SuperMicro,SuperServer 5015B-MRB ,Servers
SuperMicro,SuperServer 5015B-MT,Servers
SuperMicro,SuperServer 5015B-MTB,Servers
SuperMicro,SuperServer 5015B-NTB,Servers
SuperMicro,SuperServer 5015B-NTRB,Servers
SuperMicro,SuperServer 5015B-T,Servers
SuperMicro,SuperServer 5015B-TB,Servers
SuperMicro,SuperServer 5015B-UB,Servers
SuperMicro,SuperServer 5015B-URB,Servers
SuperMicro,SuperServer 5015M-MF,Servers
SuperMicro,SuperServer 5015M-MF+,Servers
SuperMicro,SuperServer 5015M-MF+B,Servers
SuperMicro,SuperServer 5015M-MFB,Servers
SuperMicro,SuperServer 5015M-MR,Servers
SuperMicro,SuperServer 5015M-MR+,Servers
SuperMicro,SuperServer 5015M-MR+B,Servers
SuperMicro,SuperServer 5015M-MRB,Servers
SuperMicro,SuperServer 5015M-MT,Servers
SuperMicro,SuperServer 5015M-MT+,Servers
SuperMicro,SuperServer 5015M-MT+B,Servers
SuperMicro,SuperServer 5015M-MTB,Servers
SuperMicro,SuperServer 5015M-Ni,Servers
SuperMicro,SuperServer 5015M-NiB,Servers
SuperMicro,SuperServer 5015M-NTB,Servers
SuperMicro,SuperServer 5015M-NTRB,Servers
SuperMicro,SuperServer 5015M-NTRV,Servers
SuperMicro,SuperServer 5015M-NTV,Servers
SuperMicro,SuperServer 5015M-T,Servers
SuperMicro,SuperServer 5015M-T+,Servers
SuperMicro,SuperServer 5015M-T+B,Servers
SuperMicro,SuperServer 5015M-TB,Servers
SuperMicro,SuperServer 5015M-UB,Servers
SuperMicro,SuperServer 5015M-URB,Servers
SuperMicro,SuperServer 5015M-URV,Servers
SuperMicro,SuperServer 5015M-UV ,Servers
SuperMicro,SuperServer 5015P-8 ,Servers
SuperMicro,SuperServer 5015P-8B,Servers
SuperMicro,SuperServer 5015P-8R ,Servers
SuperMicro,SuperServer 5015P-8RB,Servers
SuperMicro,SuperServer 5015P-T,Servers
SuperMicro,SuperServer 5015P-TB,Servers
SuperMicro,SuperServer 5015P-TR,Servers
SuperMicro,SuperServer 5015P-TRB,Servers
SuperMicro,SuperServer 5015TB-10GB,Servers
